c1 c2 c3 c4 c5 c6 c7 c8
22 0 0 0 0 0 0 24 
25 0 0 0 0 0 0 20 
54 0 0 0 0 0 0 26 
73 0 0 0 0 0 0 44 
105 0 0 0 0 0 0 69 
153 0 0 0 0 0 0 89 
204 0 0 0 0 0 0 87 
235 0 0 0 0 0 0 91 
238 0 0 0 0 0 0 107 
262 0 0 0 0 0 0 122 
257 0 0 0 0 0 0 133 
259 0 0 0 0 0 0 116 
272 0 0 0 0 0 0 135 
312 0 0 0 0 0 0 130 
278 0 0 0 0 0 0 100 
321 0 0 0 0 0 0 140 
310 0 0 0 0 0 0 109 
305 0 0 0 0 0 0 125 
341 0 0 0 0 0 0 160 
360 0 0 0 0 0 0 154 
373 0 0 0 0 0 0 124 
395 0 0 0 0 0 0 176 
391 0 0 0 0 0 0 156 
386 0 0 0 0 0 0 160 
399 0 0 0 0 0 0 182 
403 0 0 0 0 0 0 197 
424 0 0 0 0 0 0 249 
414 0 0 0 0 0 0 228 
435 0 0 0 0 0 0 231 
425 0 0 0 0 0 0 239 
402 0 0 0 0 0 0 286 
395 0 0 0 0 0 0 262 
396 0 0 0 0 0 0 275 
435 0 0 0 0 0 0 312 
410 0 0 0 0 0 0 281 
395 0 0 0 0 0 0 257 
410 0 0 0 0 0 0 293 
411 0 0 0 0 0 0 293 
437 0 0 0 0 0 0 251 
461 0 0 0 0 0 0 268 
437 0 0 0 0 0 0 257 
450 0 0 0 0 0 0 271 
430 0 0 0 0 0 0 259 
412 0 0 0 0 0 0 241 
406 0 0 0 0 0 0 277 
431 0 0 0 0 0 0 261 
407 0 0 0 0 0 0 262 
418 0 0 0 0 0 0 264 
395 0 0 0 0 0 0 238 
410 0 0 0 0 0 0 244 
373 0 0 0 0 0 0 240 
385 0 0 0 0 0 0 226 
402 0 0 0 0 0 0 247 
380 0 0 0 0 0 0 214 
427 0 0 0 0 0 0 205 
433 0 0 0 0 0 0 204 
465 0 0 0 0 0 0 192 
403 0 0 0 0 0 0 190 
419 0 0 0 0 0 0 184 
446 0 0 0 0 0 0 215 
430 0 0 0 0 0 0 168 
450 0 0 0 0 0 0 204 
483 0 0 0 0 0 0 177 
407 0 0 0 0 0 0 187 
492 0 0 0 0 0 0 177 
469 0 0 0 0 0 0 223 
481 0 0 0 0 0 0 234 
494 0 0 0 0 0 0 231 
473 0 0 0 0 0 0 273 
494 0 0 0 0 0 0 282 
486 0 0 0 0 0 0 282 
464 0 0 0 0 0 0 276 
488 0 0 0 0 0 0 251 
499 0 0 0 0 0 0 235 
529 0 0 0 0 0 0 220 
483 0 0 0 0 0 0 230 
535 0 0 0 0 0 0 253 
482 0 0 0 0 0 0 258 
479 0 0 0 0 0 0 220 
501 0 0 0 0 0 0 219 
502 0 0 0 0 0 0 197 
464 0 0 0 0 0 0 206 
489 0 0 0 0 0 0 213 
490 0 0 0 0 0 0 260 
472 0 0 0 0 0 0 262 
472 0 0 0 0 0 0 253 
505 0 0 0 0 0 0 216 
488 0 0 0 0 0 0 263 
458 0 0 0 0 0 0 272 
452 0 0 0 0 0 0 277 
483 0 0 0 0 0 0 257 
502 0 0 0 0 0 0 277 
491 0 0 0 0 0 0 260 
458 0 0 0 0 0 0 234 
488 0 0 0 0 0 0 238 
475 0 0 0 0 0 0 277 
483 0 0 0 0 0 0 274 
449 0 0 0 0 0 0 281 
466 0 0 0 0 0 0 270 
417 0 0 0 0 0 0 290 
406 0 0 0 0 0 0 276 
403 0 0 0 0 0 0 282 
445 0 0 0 0 0 0 324 
467 0 0 0 0 0 0 317 
462 0 0 0 0 0 0 317 
457 0 0 0 0 0 0 265 
428 0 0 0 0 0 0 274 
460 0 0 0 0 0 0 213 
437 0 0 0 0 0 0 228 
479 0 0 0 0 0 0 265 
467 0 0 0 0 0 0 240 
473 0 0 0 0 0 0 267 
468 0 0 0 0 0 0 298 
450 0 0 0 0 0 0 263 
499 0 0 0 0 0 0 261 
481 0 0 0 0 0 0 258 
477 0 0 0 0 0 0 286 
451 0 0 0 0 0 0 237 
506 0 0 0 0 0 0 245 
526 0 0 0 0 0 0 232 
507 0 0 0 0 0 0 238 
499 0 0 0 0 0 0 210 
503 0 0 0 0 0 0 210 
484 0 0 0 0 0 0 240 
476 0 0 0 0 0 0 232 
487 0 0 0 0 0 0 208 
497 0 0 0 0 0 0 225 
451 0 0 0 0 0 0 223 
494 0 0 0 0 0 0 201 
496 0 0 0 0 0 0 196 
489 0 0 0 0 0 0 211 
495 0 0 0 0 0 0 214 
532 0 0 0 0 0 0 167 
496 0 0 0 0 0 0 201 
497 0 0 0 0 0 0 183 
484 0 0 0 0 0 0 210 
456 0 0 0 0 0 0 269 
468 0 0 0 0 0 0 264 
482 0 0 0 0 0 0 236 
419 0 0 0 0 0 0 266 
455 0 0 0 0 0 0 281 
450 0 0 0 0 0 0 271 
466 0 0 0 0 0 0 257 
451 0 0 0 0 0 0 278 
493 0 0 0 0 0 0 253 
486 0 0 0 0 0 0 249 
478 0 0 0 0 0 0 284 
470 0 0 0 0 0 0 277 
497 0 0 0 0 0 0 264 
480 0 0 0 0 0 0 276 
491 0 0 0 0 0 0 281 
493 0 0 0 0 0 0 257 
512 0 0 0 0 0 0 260 
459 0 0 0 0 0 0 269 
480 0 0 0 0 0 0 258 
473 0 0 0 0 0 0 258 
496 0 0 0 0 0 0 285 
455 0 0 0 0 0 0 235 
488 0 0 0 0 0 0 267 
509 0 0 0 0 0 0 300 
498 0 0 0 0 0 0 277 
518 0 0 0 0 0 0 266 
553 0 0 0 0 0 0 277 
538 0 0 0 0 0 0 243 
540 0 0 0 0 0 0 246 
534 0 0 0 0 0 0 213 
524 0 0 0 0 0 0 222 
510 0 0 0 0 0 0 261 
538 0 0 0 0 0 0 283 
496 0 0 0 0 0 0 290 
518 0 0 0 0 0 0 243 
500 0 0 0 0 0 0 208 
508 0 0 0 0 0 0 245 
508 0 0 0 0 0 0 252 
516 0 0 0 0 0 0 264 
530 0 0 0 0 0 0 270 
538 0 0 0 0 0 0 275 
530 0 0 0 0 0 0 284 
506 0 0 0 0 0 0 326 
545 0 0 0 0 0 0 325 
527 0 0 0 0 0 0 352 
526 0 0 0 0 0 0 305 
509 0 0 0 0 0 0 322 
547 0 0 0 0 0 0 337 
534 0 0 0 0 0 0 310 
513 0 0 0 0 0 0 332 
541 0 0 0 0 0 0 321 
505 0 0 0 0 0 0 330 
534 0 0 0 0 0 0 295 
500 0 0 0 0 0 0 325 
520 0 0 0 0 0 0 301 
494 0 0 0 0 0 0 267 
518 0 0 0 0 0 0 279 
454 0 0 0 0 0 0 285 
442 0 0 0 0 0 0 254 
499 0 0 0 0 0 0 285 
446 0 0 0 0 0 0 269 
440 0 0 0 0 0 0 266 
462 0 0 0 0 0 0 254 
454 0 0 0 0 0 0 284 
438 0 0 0 0 0 0 288 
447 0 0 0 0 0 0 276 
431 0 0 0 0 0 0 270 
459 0 0 0 0 0 0 265 
428 0 0 0 0 0 0 234 
438 0 0 0 0 0 0 246 
418 0 0 0 0 0 0 258 
436 0 0 0 0 0 0 289 
414 0 0 0 0 0 0 278 
406 0 0 0 0 0 0 271 
394 0 0 0 0 0 0 296 
416 0 0 0 0 0 0 290 
408 0 0 0 0 0 0 263 
375 0 0 0 0 0 0 258 
